Date,Task Type,Number of Steps,Ø Response Time (ms),Avg. Processing Time,Ø CPU Time,Ø DB Time (ms),Ø Time/DB Procedure Call (ms),Ø Wait Time (ms),Ø Roll In Time (ms),Ø Roll Wait Time,Ø Load + Gen. Time (ms),Ø Lock Time (ms),Avg. CPIC/RFC Time,Ø FE Network Time (ms),Ø GUI Time/Dialog Step,# Roundtrips,DB Data (KB),Number of VMC Calls,Total VMC CPU Time (s),Total VMC Elapsed Time,Average VMC CPU Time,Average VMC Elapsed Time
2026-01-01,APC,51,1.41,0.71,0.28,0.14,0.17,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,51,0,0.0,0.0,0.0,0.0
2026-01-01,AUTOABAP,49,4.31,2.15,0.86,0.43,0.08,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,49,0,0.0,0.0,0.0,0.0
2026-01-01,AUTOCCMS,121,0.39,0.2,0.08,0.04,0.48,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,121,0,0.0,0.0,0.0,0.0
2026-01-01,AUTORFC,4512,253.05,149.99,45.57,44.67,1.4,12.82,1.69,27.42,3.7,1.53,39.65,0.0,0.0,4512,85728,0,0.0,0.0,0.0,0.0
2026-01-01,AUTOTH,105,1.37,0.69,0.27,0.14,0.46,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,105,0,0.0,0.0,0.0,0.0
2026-01-01,BACKGROUND,9233,1867.57,546.07,346.37,942.06,5.94,33.07,15.59,95.28,49.82,8.15,0.9,0.0,0.0,9233,4136384,0,0.0,0.0,0.0,0.0
2026-01-01,BGRFC Scheduler,195,3.32,1.66,0.66,0.33,0.17,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,195,0,0.0,0.0,0.0,0.0
2026-01-01,BGRFC Unit,37,3.22,1.61,0.64,0.32,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,37,0,0.0,0.0,0.0,0.0
2026-01-01,BUFFER SYNC,94,4.56,2.28,0.91,0.46,0.13,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,94,0,0.0,0.0,0.0,0.0
2026-01-01,DAEMON,34,2.92,1.46,0.58,0.29,0.06,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,34,0,0.0,0.0,0.0,0.0
2026-01-01,DDLOG CLEANUP,4,2.59,1.29,0.52,0.26,0.21,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0.0,0.0,0.0,0.0
2026-01-01,DEL. THCALL,62,1.59,0.79,0.32,0.16,0.09,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,62,0,0.0,0.0,0.0,0.0
2026-01-01,DIALOG,602275,238.97,137.3,28.82,54.51,2.65,15.37,3.21,5.42,2.97,2.35,0.0,35.93,31.28,1806825,12045500,98,7.3,10.96,0.07,0.11
2026-01-01,HTTP,327592,196.66,32.68,46.77,91.44,2.68,20.33,3.52,5.49,5.43,2.48,0.0,10.26,61.78,1310368,8517392,85,7.48,11.21,0.09,0.13
2026-01-01,HTTPS,764280,116.27,11.63,32.27,91.65,3.12,21.33,3.11,6.1,2.02,0.69,0.0,18.14,73.52,1528560,20635560,34,6.08,9.12,0.18,0.27
2026-01-01,LR.RFC,31,3.54,1.77,0.71,0.35,0.32,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31,0,0.0,0.0,0.0,0.0
2026-01-01,NBR.BUFFER,43,2.19,1.09,0.44,0.22,0.08,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,43,0,0.0,0.0,0.0,0.0
2026-01-01,RFC,5305,350.79,267.83,35.52,33.77,1.51,13.66,0.79,10.63,2.55,0.66,96.06,0.0,0.0,5305,68965,0,0.0,0.0,0.0,0.0
2026-01-01,RPCTH,132,3.59,1.79,0.72,0.36,0.35,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,132,0,0.0,0.0,0.0,0.0
2026-01-01,SPOOL,93,0.36,0.18,0.07,0.04,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,93,0,0.0,0.0,0.0,0.0
2026-01-01,SYS. STARTUP,118,1.41,0.7,0.28,0.14,0.37,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,118,0,0.0,0.0,0.0,0.0
2026-01-01,UI5-RFC,8444,295.95,151.15,28.55,104.96,2.16,11.3,1.55,24.73,3.76,1.12,82.66,0.0,0.0,8444,126660,0,0.0,0.0,0.0,0.0
2026-01-01,UPDATE,9861,1058.07,211.61,536.81,489.43,7.47,17.93,19.83,126.94,17.18,2.82,5.37,0.0,0.0,9861,4723419,0,0.0,0.0,0.0,0.0
2026-01-01,UPDATE2,6271,1137.54,227.51,284.43,1057.57,5.65,35.63,7.06,129.97,14.8,8.12,7.97,0.0,0.0,6271,664726,0,0.0,0.0,0.0,0.0
2026-01-01,WS-RFC,9412,131.86,13.19,93.12,121.93,2.27,18.11,1.25,16.8,4.37,1.23,14.82,0.0,0.0,9412,178828,0,0.0,0.0,0.0,0.0
2026-01-02,APC,63,0.21,0.1,0.04,0.02,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,63,0,0.0,0.0,0.0,0.0
2026-01-02,AUTOABAP,132,3.48,1.74,0.7,0.35,0.13,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,132,0,0.0,0.0,0.0,0.0
2026-01-02,AUTOCCMS,109,2.85,1.42,0.57,0.28,0.31,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,109,0,0.0,0.0,0.0,0.0
